name,county,website,latitude,longitude,lea
Amazing Grace Community Church,Cork,https://agcc.ie/,51.5546066509136,-9.27310659242858,BANDON-KINSALE
Arann Reformed Baptist Church,Dublin,https://www.facebook.com/arann.church/,53.253296,-6.13594,DÚN LAOGHAIRE
Athenry Gospel Church,Galway,http://www.athenrygc.ie,53.2974359288355,-8.74785371594285,ATHENRY-ORANMORE
Balbriggan Baptist Church,Dublin,www.balbrigganbaptist.com,53.607154581866,-6.20368513244989,BALBRIGGAN
Ballaghaderreen Baptist Church,Roscommon,https://ballaghaderreenchurch.com,53.9001319428494,-8.57649644339231,BOYLE
Ballycullen Community Church,Dublin,www.ballycullencc.com,53.2789228273159,-6.31519483112171,FIRHOUSE-BOHERNABREENA
Bantry Christian Fellowship Church,Cork,https://bantrychristianfellowship.ie/,51.6798982718531,-9.45609730243423,BANTRY-WEST CORK
Barrowvalley Community Church,Carlow,bvcchurch.com,52.8432421721477,-6.93673927337028,GRAIGUECULLEN-PORTARLINGTON
Belturbet Baptist Church,Cavan,https://belturbetbaptist.ie/,54.0975210974691,-7.4399168529523,CAVAN-BELTURBET
Bethany Church,Dublin,https://www.bethanychurch.ie,53.306299,-6.318744,RATHFARNHAM-TEMPLEOGUE
Bethlehem Christian Fellowship,Dublin,https://www.bcfchurch.ie,53.402099,-6.301452,BLANCHARDSTOWN-MULHUDDART
Blackrock Community Church,Dublin,blackrockchurch.ie,53.3056266026637,-6.20165352453498,BLACKROCK
Blanchardstown Baptist Church,Dublin,https://bbc.ac/,53.4014400,-6.37923,BLANCHARDSTOWN-MULHUDDART
Boyne Valley Baptist Church,Louth,,53.7634555151336,-6.34430046427587,DROGHEDA RURAL
Brannockstown Baptist Church,Kildare,brannockstownbaptist.com,53.1228144330133,-6.6958946888669,NEWBRIDGE
Calvary Baptist Church,Cork,http://www.calvarybaptistcork.com/,51.8779173,-8.5121851,CORK CITY SOUTH WEST
Calvary Bible Baptist Church Bray,Wicklow,,53.2036226,-6.1074959,BRAY EAST
Calvary Church Ballina,Mayo,http://www.calvarychurchballina.ie/,54.1118812806051,-9.15077544893573,BALLINA
Calvary Church Castlebar,Mayo,calvarychurchcastlebar.ie,53.8576956475062,-9.30138103545533,CASTLEBAR
Calvary Church Charlestown,Mayo,https://www.facebook.com/calvarychurchcharlestown/,53.9578373926109,-8.80777493158203,SWINFORD
Calvary Church Claremorris,Mayo,https://www.calvarychurchclaremorris.ie/,53.7129486524179,-8.99579953253174,CLAREMORRIS
Calvary Church Loughrea,Galway,www.calvarychurchloughrea.com,53.202562,-8.586116,LOUGHREA
Calvary Church Westport,Mayo,calvarywestport.ie,53.800274388307,-9.51704166674313,WESTPORT
Carrickmacross Baptist Church,Monaghan,www.carrickbaptist.ie,53.9693311942718,-6.72054130231664,CARRICKMACROSS-CASTLEBLAYNEY
Carrick Baptist Church,Leitrim,http://www.carrickbaptistchurch.com/,53.9444360724689,-8.09508284904076,CARRICK-ON-SHANNON
Carrigaline Baptist Church,Cork,www.carrigalinebaptist.org,51.81484,-8.3873605,CARRIGALINE
Carrigtwohill Baptist Church,Cork,carrigtwohillbaptist.ie,51.9091950265878,-8.25810742021373,COBH
Cavan Baptist Church,Cavan,www.cavanbaptist.ie,53.9690503724765,-7.34047170231663,CAVAN-BELTURBET
Cherith Athlone Baptist Church,Westmeath,www.cherithabc.com,53.4234861250993,-7.94934863922911,ATHLONE
Christ City Church Dublin,Dublin,christcitychurch.ie,53.333248,-6.267112,SOUTH EAST INNER CITY
Christian Assembly Evangelical Church,Dublin,http://www.caec.ie/,53.348113,-6.263342,NORTH INNER CITY
Christian Church Tralee,Kerry,http://www.christianchurchtralee.com/,52.268887113392,-9.69173104903088,TRALEE
Christian Fellowship Church Dublin,Dublin,https://www.cfcdublin.org/,53.3099686239176,-6.33248910789527,ARTANE-WHITEHALL
Clare Bible Study,Clare,http://clarebible.ie/,52.8437679,-8.9857396,ENNIS
Clondalkin Christian Fellowship,Dublin,https://clondalkinchristianfellowship.com,53.343572,-6.398226,PALMERSTOWN-FONTHILL
Clonmel Baptist Church,Tipperary,http://www.clonmelbaptist.ie/,52.3606169000039,-7.7082013023996,CLONMEL
Clonmel Christian Bible Church,Tipperary,https://clonmelbiblechurch.wordpress.com/,52.3542363573489,-7.71172847702658,CLONMEL
Community Baptist Church,Kerry,,52.1445638949626,-9.71708200241062,CORCA DHUIBHNE
Community Christian Church,Galway,Www.CommunityChristian.ie,53.339307,-9.182126,CONAMARA SOUTH
Cootehill Christian Fellowship,Cavan,https://cootehillchristianfellowship.ie/,54.07410856255,-7.0847780158048,BAILIEBOROUGH-COOTEHILL
Cork Baptist Church,Cork,www.corkbaptist.org,51.9016374863756,-8.46859127910967,CORK CITY NORTH EAST
Cornerstone Church at the Well,Wicklow,cornerstonechurch.ie,53.204859,-6.10999,BRAY EAST
Cove Street Christian Fellowship,Cork,https://www.facebook.com/p/Cove-Street-Christian-Fellowship-100068384050234/,51.8949552927245,-8.47437417358787,CORK CITY SOUTH CENTRAL
Douglas Baptist Church,Cork,douglasbaptist.ie,51.8786128115796,-8.4422676582469,CORK CITY SOUTH CENTRAL
Dublin Christian Fellowship,Dublin,https://www.messagedublin.com,53.4048755723064,-6.30375323111549,SWORDS
Dublin West Community Church,Dublin,https://dublinwest.ie,53.3915346053069,-6.44491677058733,ONGAR
Dun Laoghaire Evangelical Church,Dublin,https://www.dec.ie,53.285472,-6.13323,DÚN LAOGHAIRE
Dundalk Baptist Church,Louth,www.dundalkbaptistchurch.org,53.9956567070439,-6.41486998882158,DUNDALK SOUTH
Dundalk Community Church,Louth,https://dundalkcommunitychurch.ie/,54.001925,-6.401309,DUNDALK SOUTH
Dungarvan Community Church,Waterford,dungarvanchurch.org,52.0849536057312,-7.62225239449625,DUNGARVAN
Elevate Community Church,Limerick,https://ecclimerick.com/,52.654483,-8.63662,LIMERICK CITY WEST
Emmanuel Community Church,Louth,https://www.emmanueldundalk.com/contact,54.004982,-6.39205,DUNDALK SOUTH
Ennis Evangelical Church,Clare,https://www.ennisevangelicalchurch.org/,52.835912,-8.969403,ENNIS
Enniscorthy Christian Fellowship,Wexford,https://www.enniscorthychristianfellowship.ie/,52.5062354350273,-6.57989058460105,ENNISCORTHY
Falcarragh Community Church,Donegal,https://falcarraghcc.com/,55.1340757125618,-8.10258664122745,GLENTIES
Ferrybank Christian Community Church,Kilkenny,https://ferrybankchristianchurch.ie/,52.2698549244462,-7.09744621389591,PILTOWN
Free Grace Evangelical Church,Westmeath,https://www.fgecmullingar.org/,53.5212243455423,-7.36138866490949,MULLINGAR
Furbo Baptist Church,Galway,https://www.facebook.com/furbobaptist/,53.257500,-9.2125,CONAMARA SOUTH
Galway Christian Fellowship,Galway,https://gcfchurch.ie/,53.288847,-9.008297,GALWAY CITY EAST
Galway City Baptist Church,Galway,www.galwaycitychurch.com,53.258398,-9.127748,GALWAY CITY WEST
Good News Christian Church,Cork,https://goodnewschristianchurch.blogspot.com/p/contact-us.html,51.851532085502,-8.28965402021666,COBH
Gorey Christian Assembly,Wexford,https://goreyca.com,52.6693109312824,-6.29770998459268,GOREY
Grace Baptist Church,Galway,https://gracegalway.ie,53.2799034,-9.021073363,GALWAY CITY EAST
Grace Baptist Church (Killarney),Kerry,www.gracebaptistchurch.ie,52.0556881459778,-9.49246503614929,KILLARNEY
Grace Bible Fellowship,Dublin,www.grace.ie,53.3450817773412,-6.25318621577708,SOUTH EAST INNER CITY
Grace Church New Ross,Wexford,https://www.facebook.com/gracechurchnewross/,52.397351,-6.94361,NEW ROSS
Grace Community Church,Roscommon,https://graceroscommon.church/,53.5906125435094,-8.11983967966812,ROSCOMMON
Grace Fellowship Church,Dublin,https://www.grace.ie,53.3450770299408,-6.25320193481318,SOUTH EAST INNER CITY
Grace Missionary Baptist Church,Cork,,51.9108924,-8.336159,COBH
Grosvenor Road Baptist Church,Dublin,www.grosvenorbaptist.org,53.3197816988414,-6.27199540228435,PEMBROKE
Hacketstown Christian Centre,Carlow,,52.8615470686766,-6.55499683655396,TULLOW
Hillside Evangelical Church,Wicklow,https://www.hillside.ie,53.144993,-6.06594,GREYSTONES
Hope Baptist Church,Dublin,https://hope.ie/,53.2898113,-6.2423108,DUNDRUM
Hope Church,Kildare,https://www.hope-church.ie/,53.231914307514,-6.64015381804712,NAAS
Hope Community Church,Longford,hopelongford.com,53.7299298591768,-7.80180317331723,LONGFORD
Jamestown Road Baptist Church,Dublin,www.jamestownroadchurch.ie,53.3910752723024,-6.29692551768844,BALLYMUN-FINGLAS
Kilkenny Community Church,Kilkenny,http://www.kilcomchurch.org,52.6556397194153,-7.25546356172487,KILKENNY
Killarney Christian Group,Kerry,https://www.killarneychristiangroup.ie/,52.069019259804,-9.58089833124991,KILLARNEY
Kinsale Baptist Church,Cork,www.kinsaleabc.ie,51.7047619485479,-8.53699387946381,BANDON-KINSALE
Letterkenny Baptist Church,Donegal,www.letterkennybaptistchurch.com,54.9527312037196,-7.72897880560557,LETTERKENNY
Letterkenny Christian Fellowship,Donegal,https://www.lcf.ie/,54.944751,-7.697285,LETTERKENNY
Lifegate Bible Baptist Church,Dublin,https://lifegate.org/,53.28843,-6.356443,TALLAGHT CENTRAL
Limerick Baptist Church,Limerick,limerickbaptist.ie,52.6756393980051,-8.65391835820622,LIMERICK CITY NORTH
Limerick Christian Centre Mungret,Limerick,https://www.limerickchristiancentre.com/contact-us,52.631343760319,-8.67957478889215,LIMERICK CITY WEST
Limerick City Church,Limerick,http://www.limerickcitychurch.com/,52.659873,-8.627056,LIMERICK CITY WEST
Listowel Christian Fellowship,Kerry,http://www.listowelchristianfellowship.ie/,52.4664688720472,-9.5300790201853,LISTOWEL
Living Hope,Meath,livinghope.ie,53.5576767935416,-6.78805963117344,TRIM
Longford Baptist Church,Longford,http://www.longfordbaptist.com/,53.7263344462207,-7.79669686166088,LONGFORD
Manorhamilton Christian Fellowship,Leitrim,,54.3061977209253,-8.17493449868122,MANORHAMILTON
Midleton Baptist Church,Cork,midletonbaptist.ie,51.9205845388847,-8.17537997405783,MIDLETON
Mullingar Christian Fellowship,Westmeath,mullingarcf.ie,53.5223587939515,-7.34451247780188,MULLINGAR
Naas Baptist Fellowship,Kildare,naasbaptist.ie,53.2304996500044,-6.6475737888613,NAAS
Navan Baptist Church,Meath,,53.6559882,-6.680708,NAVAN
Nenagh Baptist Church,Tipperary,nenaghbaptistchurch.eu,52.8650256202423,-8.1995375931776,NENAGH
New Life Baptist Church,Louth,https://nlbcdrogheda.com/,53.7148580354541,-6.34815766855124,DROGHEDA URBAN
New Life Fellowship Church,Donegal,newlifefellowship.ie,54.94806,-7.736274,LETTERKENNY
Newbridge Bible Fellowship Church,Kildare,https://newbridgebiblechurch.ie/,53.1956751997208,-6.78744046002765,NEWBRIDGE
North City Baptist Church,Dublin,www.northcitychurch.ie,53.3640567722945,-6.300444502348,CABRA-GLASNEVIN
Oranmore Community Church,Galway,https://occhurch.ie,53.2773623,-8.9283634,ATHENRY-ORANMORE
Passage Baptist Church,Cork,passagebaptistchurch.ie,51.869751,-8.336546,CARRIGALINE
Raphoe Congregational Church,Donegal,https://raphoechurch.com/,54.875741630327,-7.58808594481901,LIFFORD-STRANORLAR
Redeemer Church,Dublin,https://www.redeemerdublin.ie/,53.291757,-6.275089,DUNDRUM
River Valley Baptist Church,Kildare,https://rivervalleybc.org/contact/,53.3810150726474,-6.57759795632176,MAYNOOTH
Rural Revival Church,Wicklow,https://www.facebook.com/p/Rural-Revival-Baltinglass-61552497001437/,52.9413186728756,-6.70925667673041,BALTINGLASS
Shalom Christian Fellowship,Monaghan,https://www.facebook.com/ShalomChristianFellowshipMonaghan/,54.2488408446865,-6.97090410415024,MONAGHAN
Shannon Christian Church,Clare,https://shannonchristians.ie/,52.716832280912,-8.87311024481719,SHANNON
