area_name,lea_name,county,population_2022,age_0_14,age_15_34,age_35_64,age_65_plus,age_0_14_pct,age_15_34_pct,age_35_64_pct,age_65_plus_pct,birthplace_total,born_ireland,born_uk,born_poland,born_india,born_other_eu,born_rest_world,birthplace_not_stated,born_outside_ireland,born_ireland_pct,born_outside_ireland_pct,born_uk_pct,born_poland_pct,born_india_pct,born_other_eu_pct,born_rest_world_pct,birthplace_not_stated_pct,citizenship_total,citizen_ireland,citizen_uk,citizen_poland,citizen_india,citizen_other_eu,citizen_rest_world,citizenship_not_stated,non_irish_citizenship,citizen_ireland_pct,non_irish_citizenship_pct,citizen_uk_pct,citizen_poland_pct,citizen_india_pct,citizen_other_eu_pct,citizen_rest_world_pct,citizenship_not_stated_pct,ethnicity_white_irish,ethnicity_white_irish_traveller,ethnicity_other_white,ethnicity_black_or_black_irish,ethnicity_asian_or_asian_irish,ethnicity_other,ethnicity_not_stated,ethnicity_total,ethnicity_white_irish_pct,ethnicity_white_irish_traveller_pct,ethnicity_other_white_pct,ethnicity_black_or_black_irish_pct,ethnicity_asian_or_asian_irish_pct,ethnicity_other_pct,ethnicity_not_stated_pct,religion_catholic,religion_other,religion_none,religion_not_stated,religion_total,religion_catholic_pct,religion_other_pct,religion_none_pct,religion_not_stated_pct,language_spanish,language_french,language_polish,language_other_incl_not_stated,foreign_language_speakers,language_total,language_spanish_pct,language_french_pct,language_polish_pct,language_other_incl_not_stated_pct,foreign_language_speakers_pct,families_household_size_2_persons,families_household_size_3_persons,families_household_size_4_persons,families_household_size_5_persons,families_household_size_6_plus_persons,families_household_size_total,families_household_size_2_persons_pct,families_household_size_3_persons_pct,families_household_size_4_persons_pct,families_household_size_5_persons_pct,families_household_size_6_plus_persons_pct,persons_household_size_2_persons,persons_household_size_3_persons,persons_household_size_4_persons,persons_household_size_5_persons,persons_household_size_6_plus_persons,persons_household_size_total,persons_household_size_2_persons_pct,persons_household_size_3_persons_pct,persons_household_size_4_persons_pct,persons_household_size_5_persons_pct,persons_household_size_6_plus_persons_pct,children_household_size_2_persons,children_household_size_3_persons,children_household_size_4_persons,children_household_size_5_persons,children_household_size_6_plus_persons,children_household_size_total,children_household_size_2_persons_pct,children_household_size_3_persons_pct,children_household_size_4_persons_pct,children_household_size_5_persons_pct,children_household_size_6_plus_persons_pct,families_total,families_2_person_households,families_3_person_households,families_4_person_households,families_5_person_households,families_6_plus_person_households,families_2_person_households_pct,families_3_person_households_pct,families_4_person_households_pct,families_5_person_households_pct,families_6_plus_person_households_pct,status_at_work,status_looking_first_job,status_short_term_unemployed,status_long_term_unemployed,status_student,status_home_family,status_retired,status_unable_to_work,status_other,status_total_15_plus,status_unemployed,status_at_work_pct,status_student_pct,status_retired_pct,status_home_family_pct,status_unable_to_work_pct,status_looking_first_job_pct,status_short_term_unemployed_pct,status_long_term_unemployed_pct,status_unemployed_pct,status_other_pct
"Adare-Rathkeale, Limerick",Adare-Rathkeale,Limerick,29311,5782,6254,12077,5198,19.7,21.3,41.2,17.7,28848,25977,1412,209,103,367,780,0,2871,90.0,10.0,4.9,0.7,0.4,1.3,2.7,0.0,28848,26582,337,188,96,363,353,929,1337,92.1,4.6,1.2,0.7,0.3,1.3,1.2,3.2,24926,568,1162,68,328,173,1623,28848,86.4,2.0,4.0,0.2,1.1,0.6,5.6,23456,1519,2505,1831,29311,80.0,5.2,8.5,6.2,110,218,254,1049,1631,1631,0.4,0.7,0.9,3.6,5.6,2913,1584,1716,919,336,7468,39.0,21.2,23.0,12.3,4.5,5826,4752,6864,4595,2095,24132,24.1,19.7,28.4,19.0,8.7,583,1870,3534,2783,1434,10204,5.7,18.3,34.6,27.3,14.1,7468,2913,1584,1716,919,336,39.0,21.2,23.0,12.3,4.5,12957,144,321,410,2591,1621,4230,1171,84,23529,875,55.1,11.0,18.0,6.9,5.0,0.6,1.4,1.7,3.7,0.4
"Ardee, Louth",Ardee,Louth,27034,5638,6276,11243,3877,20.9,23.2,41.6,14.3,26888,23258,1852,281,96,637,764,0,3630,86.5,13.5,6.9,1.0,0.4,2.4,2.8,0.0,26888,24608,356,255,69,611,351,638,1642,91.5,6.1,1.3,0.9,0.3,2.3,1.3,2.4,23420,50,1475,273,273,269,1128,26888,87.1,0.2,5.5,1.0,1.0,1.0,4.2,21636,1473,2772,1153,27034,80.0,5.4,10.3,4.3,100,246,334,1462,2142,2142,0.4,0.9,1.2,5.4,7.9,2626,1629,1613,904,333,7105,37.0,22.9,22.7,12.7,4.7,5252,4887,6452,4520,2084,23195,22.6,21.1,27.8,19.5,9.0,688,1983,3356,2741,1428,10196,6.7,19.4,32.9,26.9,14.0,7105,2626,1629,1613,904,333,37.0,22.9,22.7,12.7,4.7,11941,182,324,518,2428,1573,3223,1076,131,21396,1024,55.8,11.3,15.1,7.4,5.0,0.9,1.5,2.4,4.8,0.6
"Arklow, Wicklow",Arklow,Wicklow,27866,5686,6076,11867,4237,20.4,21.8,42.6,15.2,27599,23481,1467,690,133,776,1052,0,4118,85.1,14.9,5.3,2.5,0.5,2.8,3.8,0.0,27599,24501,485,602,71,715,444,781,2317,88.8,8.4,1.8,2.2,0.3,2.6,1.6,2.8,22892,187,2416,134,498,291,1181,27599,82.9,0.7,8.8,0.5,1.8,1.1,4.3,19234,2894,4374,1364,27866,69.0,10.4,15.7,4.9,141,197,841,1788,2967,2967,0.5,0.7,3.0,6.4,10.6,3036,1695,1673,766,280,7450,40.8,22.8,22.5,10.3,3.8,6072,5085,6692,3830,1769,23448,25.9,21.7,28.5,16.3,7.5,823,2154,3514,2331,1219,10041,8.2,21.5,35.0,23.2,12.1,7450,3036,1695,1673,766,280,40.8,22.8,22.5,10.3,3.8,11778,199,416,706,2259,1827,3502,1314,179,22180,1321,53.1,10.2,15.8,8.2,5.9,0.9,1.9,3.2,6.0,0.8
"Artane-Whitehall, Dublin City",Artane-Whitehall,Dublin City,52137,8715,14318,19876,9228,16.7,27.5,38.1,17.7,51630,43050,1650,444,918,2125,3443,0,8580,83.4,16.6,3.2,0.9,1.8,4.1,6.7,0.0,51630,43479,360,387,740,2052,2063,2549,5602,84.2,10.9,0.7,0.7,1.4,4.0,4.0,4.9,39427,535,3605,690,2360,1094,3919,51630,76.4,1.0,7.0,1.3,4.6,2.1,7.6,35002,4764,8218,4153,52137,67.1,9.1,15.8,8.0,516,367,511,5904,7298,7298,1.0,0.7,1.0,11.3,14.0,5587,3097,2484,1029,387,12584,44.4,24.6,19.7,8.2,3.1,11174,9291,9936,5145,2468,38014,29.4,24.4,26.1,13.5,6.5,1799,4031,5302,3195,1729,16056,11.2,25.1,33.0,19.9,10.8,12584,5587,3097,2484,1029,387,44.4,24.6,19.7,8.2,3.1,23311,388,804,1387,4231,2605,8216,2245,235,43422,2579,53.7,9.7,18.9,6.0,5.2,0.9,1.9,3.2,5.9,0.5
"Ashbourne, Meath",Ashbourne,Meath,33516,8028,7487,13976,4025,24.0,22.3,41.7,12.0,33172,27030,1319,803,234,1934,1852,0,6142,81.5,18.5,4.0,2.4,0.7,5.8,5.6,0.0,33172,28320,369,661,143,1939,885,855,3997,85.4,12.0,1.1,2.0,0.4,5.8,2.7,2.6,25888,31,4081,460,777,711,1224,33172,78.0,0.1,12.3,1.4,2.3,2.1,3.7,23683,3448,4887,1498,33516,70.7,10.3,14.6,4.5,321,260,1042,4212,5835,5835,1.0,0.8,3.1,12.6,17.4,2938,1989,2370,1117,330,8744,33.6,22.7,27.1,12.8,3.8,5876,5967,9480,5585,2078,28986,20.3,20.6,32.7,19.3,7.2,639,2331,4856,3389,1431,12646,5.1,18.4,38.4,26.8,11.3,8744,2938,1989,2370,1117,330,33.6,22.7,27.1,12.8,3.8,15779,172,367,492,2681,1677,3328,832,160,25488,1031,61.9,10.5,13.1,6.6,3.3,0.7,1.4,1.9,4.0,0.6
"Athenry-Oranmore, Galway County",Athenry-Oranmore,Galway County,35105,7962,7477,15081,4585,22.7,21.3,43.0,13.1,34833,29428,2025,907,239,851,1383,0,5405,84.5,15.5,5.8,2.6,0.7,2.4,4.0,0.0,34833,31302,490,791,167,788,590,705,2826,89.9,8.1,1.4,2.3,0.5,2.3,1.7,2.0,29294,412,2741,217,621,459,1089,34833,84.1,1.2,7.9,0.6,1.8,1.3,3.1,27941,1673,4121,1370,35105,79.6,4.8,11.7,3.9,229,308,1170,2081,3788,3788,0.7,0.9,3.3,5.9,10.8,3247,2018,2316,1256,382,9219,35.2,21.9,25.1,13.6,4.1,6494,6054,9264,6280,2399,30491,21.3,19.9,30.4,20.6,7.9,624,2353,4770,3795,1644,13186,4.7,17.8,36.2,28.8,12.5,9219,3247,2018,2316,1256,382,35.2,21.9,25.1,13.6,4.1,16685,145,364,493,3130,1572,3708,907,139,27143,1002,61.5,11.5,13.7,5.8,3.3,0.5,1.3,1.8,3.7,0.5
"Athlone, Roscommon",Athlone,Roscommon,21130,4458,4540,8902,3230,21.1,21.5,42.1,15.3,20901,18116,1090,472,101,443,679,0,2785,86.7,13.3,5.2,2.3,0.5,2.1,3.2,0.0,20901,19099,289,396,63,385,288,381,1421,91.4,6.8,1.4,1.9,0.3,1.8,1.4,1.8,17867,122,1482,236,244,212,738,20901,85.5,0.6,7.1,1.1,1.2,1.0,3.5,17481,1160,1701,788,21130,82.7,5.5,8.1,3.7,67,156,594,1207,2024,2024,0.3,0.7,2.8,5.7,9.6,1962,1323,1271,717,272,5545,35.4,23.9,22.9,12.9,4.9,3924,3969,5084,3585,1703,18265,21.5,21.7,27.8,19.6,9.3,430,1554,2614,2162,1166,7926,5.4,19.6,33.0,27.3,14.7,5545,1962,1323,1271,717,272,35.4,23.9,22.9,12.9,4.9,9609,101,209,327,1952,1114,2624,626,110,16672,637,57.6,11.7,15.7,6.7,3.8,0.6,1.3,2.0,3.8,0.7
"Athlone, Westmeath",Athlone,Westmeath,24308,4608,6316,9628,3756,19.0,26.0,39.6,15.5,24078,18299,1052,675,825,1066,2161,0,5779,76.0,24.0,4.4,2.8,3.4,4.4,9.0,0.0,24078,19068,272,591,727,1016,1421,983,4027,79.2,16.7,1.1,2.5,3.0,4.2,5.9,4.1,16833,277,2279,589,1544,563,1993,24078,69.9,1.2,9.5,2.4,6.4,2.3,8.3,16053,3019,3009,2227,24308,66.0,12.4,12.4,9.2,212,195,766,3375,4548,4548,0.9,0.8,3.2,13.9,18.7,2558,1321,1212,525,206,5822,43.9,22.7,20.8,9.0,3.5,5116,3963,4848,2625,1304,17856,28.7,22.2,27.2,14.7,7.3,631,1588,2514,1601,909,7243,8.7,21.9,34.7,22.1,12.6,5822,2558,1321,1212,525,206,43.9,22.7,20.8,9.0,3.5,10586,239,365,658,2107,1288,3226,1069,162,19700,1262,53.7,10.7,16.4,6.5,5.4,1.2,1.9,3.3,6.4,0.8
"Athy, Kildare",Athy,Kildare,28641,6134,6751,11904,3852,21.4,23.6,41.6,13.4,28485,24294,1273,629,96,896,1297,0,4191,85.3,14.7,4.5,2.2,0.3,3.1,4.6,0.0,28485,25344,386,550,59,889,568,689,2452,89.0,8.6,1.4,1.9,0.2,3.1,2.0,2.4,23374,179,2354,577,425,353,1223,28485,82.1,0.6,8.3,2.0,1.5,1.2,4.3,21026,2796,3438,1381,28641,73.4,9.8,12.0,4.8,129,243,743,2289,3404,3404,0.5,0.8,2.6,8.0,11.9,2725,1713,1715,908,360,7421,36.7,23.1,23.1,12.2,4.9,5450,5139,6860,4540,2275,24264,22.5,21.2,28.3,18.7,9.4,796,2152,3607,2779,1569,10903,7.3,19.7,33.1,25.5,14.4,7421,2725,1713,1715,908,360,36.7,23.1,23.1,12.2,4.9,12055,251,440,735,2455,1961,3176,1239,195,22507,1426,53.6,10.9,14.1,8.7,5.5,1.1,2.0,3.3,6.3,0.9
"Bailieborough-Cootehill, Cavan",Bailieborough-Cootehill,Cavan,26209,5831,5800,10522,4056,22.2,22.1,40.1,15.5,26050,22553,1470,434,52,835,706,0,3497,86.6,13.4,5.6,1.7,0.2,3.2,2.7,0.0,26050,23166,380,399,44,782,336,943,1941,88.9,7.5,1.5,1.5,0.2,3.0,1.3,3.6,21802,109,1928,120,220,211,1660,26050,83.7,0.4,7.4,0.5,0.8,0.8,6.4,20273,2457,1678,1801,26209,77.4,9.4,6.4,6.9,81,145,513,1504,2243,2243,0.3,0.6,2.0,5.7,8.6,2486,1426,1441,928,384,6665,37.3,21.4,21.6,13.9,5.8,4972,4278,5764,4640,2442,22096,22.5,19.4,26.1,21.0,11.1,559,1671,3002,2808,1683,9723,5.7,17.2,30.9,28.9,17.3,6665,2486,1426,1441,928,384,37.3,21.4,21.6,13.9,5.8,11599,148,316,521,1994,1536,3200,917,147,20378,985,56.9,9.8,15.7,7.5,4.5,0.7,1.6,2.6,4.8,0.7
