Town,County,Population,Churches counted in town,Town opportunity,Nearest counted church,Nearest church town,Nearest church county,Nearest church denomination,Nearest church tradition,Distance to nearest counted church km,Latitude,Longitude,Filter mode,Active partnership filter
"Muinebeag (Bagenalstown)","Carlow","2,945","0","High","Assembly of God Carlow","Carlow","Carlow","Assemblies of God","Pentecostal/Charismatic","15.0","52.702813","-6.963878","Tradition","All churches counted"
"Tullow","Carlow","5,138","0","Significant","Gateway Church (Tullow)","Tullow","Carlow","Christian Churches Ireland","Pentecostal/Charismatic","1.6","52.801562","-6.731616","Tradition","All churches counted"
"Kingscourt","Cavan","2,955","0","Significant","Ervey Presbyterian Church","Ervey","Meath","PCI","Presbyterian/Reformed","2.6","53.902924","-6.812221","Tradition","All churches counted"
"Mullagh","Cavan","1,651","0","Significant","Kells Christian Centre","Kells","Meath","Various Pentecostal","Pentecostal/Charismatic","9.2","53.811613","-6.945516","Tradition","All churches counted"
"Virginia","Cavan","3,211","0","Significant","Bellasis Presbyterian Church","Virginia","Cavan","PCI","Presbyterian/Reformed","5.4","53.835282","-7.083778","Tradition","All churches counted"
"Killaloe","Clare","1,666","0","High","The Christian Community, Movement for Religious Renewal","Tuamgraney","Clare","Various Pentecostal","Pentecostal/Charismatic","12.2","52.806525","-8.447660","Tradition","All churches counted"
"Kilrush","Clare","2,649","0","High","Listowel Christian Fellowship","Listowel","Kerry","Independent Evangelical","Baptist/Independent Evangelical","19.3","52.638029","-9.486412","Tradition","All churches counted"
"Newmarket-On-Fergus","Clare","1,887","0","Significant","New Life Christian Church","Shannon","Clare","Various Pentecostal","Pentecostal/Charismatic","5.2","52.761854","-8.894303","Tradition","All churches counted"
"Sixmilebridge","Clare","2,832","0","Significant","New Life Christian Church","Shannon","Clare","Various Pentecostal","Pentecostal/Charismatic","7.3","52.742813","-8.773805","Tradition","All churches counted"
"Blarney","Cork","2,779","0","Significant","Agape Parish","Ballincollig","Cork","RCCG","Pentecostal/Charismatic","5.5","51.937369","-8.558054","Tradition","All churches counted"
"Castlemartyr","Cork","1,603","0","Significant","Midleton Baptist Church","Midleton","Cork","ABCI","Baptist/Independent Evangelical","8.4","51.913307","-8.052925","Tradition","All churches counted"
"Charleville","Cork","3,970","0","High","Adare Methodist Church","Adare","Limerick","Methodist","Methodist/Wesleyan","24.4","52.353742","-8.691282","Tradition","All churches counted"
"Cloyne","Cork","1,967","0","Significant","Aghada Presbyterian Church","Cork","Cork","PCI","Presbyterian/Reformed","6.6","51.861905","-8.126659","Tradition","All churches counted"
"Crosshaven","Cork","3,263","0","Significant","Good News Christian Church","Cobh","Cork","Independent Evangelical","Baptist/Independent Evangelical","5.7","51.800795","-8.298483","Tradition","All churches counted"
"Dunmanway","Cork","1,964","0","High","Drimoleague Methodist Church","Drimoleague","Cork","Methodist","Methodist/Wesleyan","12.3","51.719462","-9.114503","Tradition","All churches counted"
"Kanturk","Cork","2,803","0","High","Fountaingate Christian Church","Mallow","Cork","Various Pentecostal","Pentecostal/Charismatic","18.9","52.182967","-8.905803","Tradition","All churches counted"
"Macroom","Cork","4,096","0","High","Riverside Gospel Hall","Bandon","Cork","Brethren","Brethren/Gospel Hall","23.5","51.906708","-8.966087","Tradition","All churches counted"
"Millstreet","Cork","1,722","0","High","King’s Treasure Christian Centre","Killarney","Kerry","Various Pentecostal","Pentecostal/Charismatic","24.9","52.058082","-9.065519","Tradition","All churches counted"
"Mitchelstown","Cork","3,744","0","High","Fermoy Presbyterian Church","Fermoy","Cork","PCI","Presbyterian/Reformed","14.0","52.268291","-8.270009","Tradition","All churches counted"
"Rathcormac","Cork","1,957","0","Significant","Fermoy Presbyterian Church","Fermoy","Cork","PCI","Presbyterian/Reformed","7.4","52.075958","-8.277726","Tradition","All churches counted"
"Tower","Cork","3,300","0","Significant","Agape Parish","Ballincollig","Cork","RCCG","Pentecostal/Charismatic","6.3","51.925494","-8.605535","Tradition","All churches counted"
"Watergrasshill","Cork","1,840","0","High","Grace Missionary Baptist Church","Glanmire","Cork","Various Baptist","Baptist/Independent Evangelical","11.2","52.011577","-8.343251","Tradition","All churches counted"
"Ballyshannon","Donegal","2,246","0","Significant","Bundoran Community Church","Bundoran","Donegal","Various Baptist","Baptist/Independent Evangelical","5.9","54.503954","-8.193984","Tradition","All churches counted"
"Buncrana","Donegal","6,971","0","Significant","Rathmullan Presbyterian Church","Letterkenny","Donegal","PCI","Presbyterian/Reformed","6.7","55.129079","-7.446583","Tradition","All churches counted"
"Carndonagh","Donegal","2,768","0","Significant","Carndonagh Presbyterian Church","Lifford","Donegal","PCI","Presbyterian/Reformed","1.8","55.247801","-7.265151","Tradition","All churches counted"
"Lifford","Donegal","1,613","0","Significant","Raphoe & Ballindrait Presbyterian Church","Lifford","Donegal","PCI","Presbyterian/Reformed","2.8","54.832303","-7.489110","Tradition","All churches counted"
"Balrothery","Dublin","2,282","0","Significant","The Lord Reigns","Balbriggan","Dublin","RCCG","Pentecostal/Charismatic","2.0","53.588351","-6.184363","Tradition","All churches counted"
"Kinsealy-Drinan","Dublin","7,526","0","Significant","Swords Baptist Church","Swords","Dublin","ABCI","Baptist/Independent Evangelical","0.5","53.443752","-6.203728","Tradition","All churches counted"
"Portmarnock","Dublin","10,750","0","Significant","Christ Church North Dublin","Dublin 13","Dublin","ICM","Other Protestant/Evangelical","2.4","53.420066","-6.139896","Tradition","All churches counted"
"Rathcoole","Dublin","5,792","0","Significant","Chapel of Restoration","Newcastle","Dublin","RCCG","Pentecostal/Charismatic","3.1","53.278813","-6.474007","Tradition","All churches counted"
"Rush","Dublin","10,875","0","Significant","Assembly of Praise","Lusk","Dublin","RCCG","Pentecostal/Charismatic","4.4","53.523962","-6.098681","Tradition","All churches counted"
"Saggart","Dublin","4,573","0","Significant","Tallaght (An Solas) Methodist Church","Tallaght","Dublin","Methodist","Methodist/Wesleyan","2.9","53.283736","-6.444057","Tradition","All churches counted"
"Baile Chláir","Galway","1,632","0","Significant","TREM House of Mercy","Briarhill","Galway","Various Pentecostal","Pentecostal/Charismatic","6.3","53.340521","-8.943470","Tradition","All churches counted"
"Bearna","Galway","2,336","0","Significant","Galway City Baptist Church","Knocknacarra","Galway","ABCI","Baptist/Independent Evangelical","1.9","53.255577","-9.155456","Tradition","All churches counted"
"Oughterard","Galway","1,846","0","High","Community Christian Church","Moycullen","Galway","Independent Evangelical","Baptist/Independent Evangelical","12.9","53.427177","-9.309644","Tradition","All churches counted"
"Portumna","Galway","1,690","0","High","Borrisokane Methodist Church","Borrisokane","Tipperary","Methodist","Methodist/Wesleyan","12.5","53.093772","-8.220600","Tradition","All churches counted"
"Ballybunion","Kerry","1,618","0","High","Listowel Christian Fellowship","Listowel","Kerry","Independent Evangelical","Baptist/Independent Evangelical","10.7","52.513928","-9.667408","Tradition","All churches counted"
"Castleisland","Kerry","2,536","0","High","Christian Church Tralee","Tralee","Kerry","Independent Evangelical","Baptist/Independent Evangelical","16.5","52.230655","-9.457963","Tradition","All churches counted"
"Dingle-Daingean Uí Chuis","Kerry","1,671","0","High","Mercy of God Tabernacle","Killorglin","Kerry","RCCG","Pentecostal/Charismatic","33.1","52.140809","-10.271363","Tradition","All churches counted"
"Killorglin","Kerry","2,163","0","Significant","Mercy of God Tabernacle","Killorglin","Kerry","RCCG","Pentecostal/Charismatic","0.5","52.104585","-9.791867","Tradition","All churches counted"
"Listowel","Kerry","4,794","0","Significant","Listowel Christian Fellowship","Listowel","Kerry","Independent Evangelical","Baptist/Independent Evangelical","3.2","52.447958","-9.494103","Tradition","All churches counted"
